"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-01-30","14:30:00",6936,"1 Jan 30 6910 P STO 2.80 | 1 Jan 30 6865 P BTO 0.35",231,6917.77,"2026-01-30","15:23:00",495,"Stop Loss",-269,-116.45021645021644,1,998778.5,4269,"",2.5,2.5,8,26.333,-21.74,-11.27,58.87,-122.94
"2026-01-29","14:30:00",6943.98,"1 Jan 29 6930 P STO 2.10 | 1 Jan 29 6885 P BTO 0.15",181,6935.7,"2026-01-29","14:31:00",390,"Stop Loss",-214,-118.23204419889504,1,999047.5,4319,"",2.5,2.5,14,14.833,-0.29,-33.76,0,-129.28
"2026-01-28","13:00:00",6971.71,"1 Jan 28 6920 P STO 2.35 | 1 Jan 28 6875 P BTO 0.60",161,6978.03,"2026-01-28","16:00:00",0,"Expired",158.5,98.4472049689441,1,999261.5,4339,"",2.5,0,3.917,1,23.4,-30.29,100,-21.12
"2026-01-27","14:30:00",6985.2,"1 Jan 27 6985 P STO 3.15 | 1 Jan 27 6940 P BTO 0.20",281,6980.28,"2026-01-27","15:56:00",600,"Stop Loss",-324,-115.30249110320285,1,999103,4219,"",2.5,2.5,15.75,95,15.73,19.24,37.72,-131.32
"2026-01-26","14:30:00",6961.77,"1 Jan 26 6960 P STO 3.05 | 1 Jan 26 6915 P BTO 0.30",261,6953.27,"2026-01-26","15:55:00",555,"Stop Loss",-299,-114.55938697318007,1,999427,4239,"",2.5,2.5,10.167,112,7.62,38.54,36.78,-170.11
"2026-01-23","14:30:00",6919.08,"1 Jan 23 6910 P STO 2.80 | 1 Jan 23 6865 P BTO 0.30",236,6911.26,"2026-01-23","15:12:00",505,"Stop Loss",-274,-116.10169491525424,1,999726,4264,"",2.5,2.5,9.333,20.25,-5.5,11.23,25.85,-154.24
