"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-02-02","14:30:00",6990.71,"1 Feb 4 6935 P STO 8.00 | 1 Feb 4 7040 C STO 2.95 | 1 Feb 6 6935 P BTO 18.70 | 1 Feb 6 7040 C BTO 13.55",-2170,6886.18,"2026-02-03","13:26:00",-1660,"Above Delta",-519.6,-23.944700460829495,1,1000127.8,2170,"",4.8,4.8,0.34,0.774,-22.39,74.07,3.92,-26.5
"2026-01-26","14:30:00",6961.77,"1 Jan 28 6900 P STO 7.85 | 1 Jan 28 7015 C STO 3.35 | 1 Jan 30 6900 P BTO 20.45 | 1 Jan 30 7015 C BTO 15.50",-2515,7000.57,"2026-01-28","09:45:00",-2800,"Exited at Specified Time",275.4,10.950298210735586,1,1000647.4,2515,"",4.8,4.8,0.312,0.211,7.62,38.54,13.92,-1.79
"2026-01-12","14:30:00",6978.89,"1 Jan 14 6920 P STO 7.25 | 1 Jan 14 7030 C STO 4.20 | 1 Jan 16 6920 P BTO 14.65 | 1 Jan 16 7030 C BTO 12.25",-1585,6920.19,"2026-01-14","09:45:00",-1700,"Exited at Specified Time",105.4,6.649842271293376,1,1000372,1585,"",4.8,4.8,0.426,0.525,-22.16,34.77,13.56,-7.89
"2026-01-05","14:30:00",6908.32,"1 Jan 7 6860 P STO 6.60 | 1 Jan 7 6955 C STO 2.80 | 1 Jan 9 6860 P BTO 15.50 | 1 Jan 9 6955 C BTO 12.50",-1900,6954.14,"2026-01-07","09:45:00",-2115,"Exited at Specified Time",205.4,10.810526315789474,1,1000266.6,1900,"",4.8,4.8,0.336,0.314,33.72,16.13,25.26,-3.68
"2025-12-29","14:30:00",6902.1,"1 Dec 31 6855 P STO 6.05 | 1 Dec 31 6950 C STO 3.45 | 1 Jan 2 6855 P BTO 9.50 | 1 Jan 2 6950 C BTO 6.90",-730,6885.74,"2025-12-31","09:45:00",-715,"Exited at Specified Time",-24.6,-3.3698630136986303,1,1000061.2,730,"",4.8,4.8,0.579,0.33,-26.34,-1.5,4.11,-15.07
"2025-12-22","14:30:00",6875.79,"1 Dec 24 6840 P STO 5.15 | 1 Dec 24 6915 C STO 2.40 | 1 Dec 26 6840 P BTO 8.75 | 1 Dec 26 6915 C BTO 5.45",-705,6911.74,"2025-12-24","09:45:00",-905,"Exited at Specified Time",190.4,27.00709219858156,1,1000085.8,705,"",4.8,4.8,0.532,0.292,30.71,10.58,35.46,-11.35
"2025-12-15","14:30:00",6817.48,"1 Dec 17 6750 P STO 8.95 | 1 Dec 17 6885 C STO 4.90 | 1 Dec 19 6750 P BTO 19.70 | 1 Dec 19 6885 C BTO 15.30",-2155,6793.66,"2025-12-17","09:45:00",-2060,"Exited at Specified Time",-104.6,-4.853828306264501,1,999895.4,2155,"",4.8,4.8,0.396,0.213,32.78,-42.71,9.05,-10.67
