"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2025-12-01","14:30:00",6819.55,"60 Dec 3 6755 P STO 8.90 | 60 Dec 3 6880 C STO 4.80 | 60 Dec 5 6755 P BTO 18.30 | 60 Dec 5 6880 C BTO 13.35",-1805,6821.74,"2025-12-03","09:45:00",-1910,"Exited at Specified Time",5724,5.285318559556787,60,2750064.2,108300,"",288,288,0.433,0.15,-36.79,7.25,11.91,-2.49
"2025-11-24","14:30:00",6703.83,"95 Nov 26 6620 P STO 11.70 | 95 Nov 26 6780 C STO 5.10 | 95 Nov 28 6620 P BTO 17.80 | 95 Nov 28 6780 C BTO 10.40",-1150,6795.8,"2025-11-26","09:32:00",-1055,"Below Delta",-9937,-9.095652173913043,95,2744340.2,109250,"",456,456,0.596,0.7,33.55,67.29,4.78,-13.48
"2025-11-17","14:30:00",6674.78,"31 Nov 19 6575 P STO 13.50 | 31 Nov 19 6770 C STO 7.10 | 31 Nov 21 6575 P BTO 31.40 | 31 Nov 21 6770 C BTO 23.40",-3430,6647.14,"2025-11-19","09:45:00",-3985,"Exited at Specified Time",16907.4,15.900874635568515,31,2754277.2,106330,"",148.8,148.8,0.376,0.097,-20.5,-38.83,24.49,-1.17
"2025-11-10","14:30:00",6827.56,"58 Nov 12 6765 P STO 9.00 | 58 Nov 12 6890 C STO 4.20 | 58 Nov 14 6765 P BTO 18.80 | 58 Nov 14 6890 C BTO 12.95",-1865,6861.58,"2025-11-12","09:45:00",-1965,"Exited at Specified Time",5243.2,4.847184986595174,58,2737369.8,108170,"",278.4,278.4,0.416,0.141,56.56,42.2,10.46,-10.46
"2025-11-03","14:30:00",6853.71,"59 Nov 5 6790 P STO 8.70 | 59 Nov 5 6915 C STO 4.00 | 59 Nov 7 6790 P BTO 17.85 | 59 Nov 7 6915 C BTO 13.30",-1855,6765.65,"2025-11-05","09:45:00",-1680,"Exited at Specified Time",-10891.4,-9.951482479784367,59,2732126.6,109445,"",283.2,283.2,0.408,0.656,42.12,-28.61,2.16,-15.36
"2025-10-27","14:30:00",6861.24,"39 Oct 29 6805 P STO 8.20 | 39 Oct 29 6915 C STO 3.95 | 39 Oct 31 6805 P BTO 21.60 | 39 Oct 31 6915 C BTO 17.60",-2715,6915.73,"2025-10-29","09:45:00",-3835,"Exited at Specified Time",43305.6,40.89871086556169,39,2743018,105885,"",187.2,187.2,0.31,0.326,53.77,15.78,41.62,0
"2025-10-20","14:30:00",6740.52,"46 Oct 22 6675 P STO 9.00 | 46 Oct 22 6795 C STO 3.90 | 46 Oct 24 6675 P BTO 20.30 | 46 Oct 24 6795 C BTO 15.80",-2330,6740.42,"2025-10-22","09:45:00",-1825,"Exited at Specified Time",-23671.6,-22.085836909871244,46,2699712.4,107180,"",220.8,220.8,0.357,0.105,26.04,50.47,3.22,-25.11
"2025-10-13","14:30:00",6662.89,"55 Oct 15 6590 P STO 10.20 | 55 Oct 15 6730 C STO 4.85 | 55 Oct 17 6590 P BTO 20.20 | 55 Oct 17 6730 C BTO 14.15",-1940,6693.47,"2025-10-15","09:45:00",-2485,"Exited at Specified Time",29447,27.5979381443299,55,2723384,106700,"",264,264,0.438,0.146,70.02,40.36,29.38,-6.7
"2025-10-06","14:30:00",6746.81,"65 Oct 8 6695 P STO 6.55 | 65 Oct 8 6790 C STO 3.55 | 65 Oct 10 6695 P BTO 14.20 | 65 Oct 10 6790 C BTO 12.30",-1650,6720.98,"2025-10-08","09:45:00",-1580,"Exited at Specified Time",-5174,-4.824242424242424,65,2693937,107250,"",312,312,0.381,0.203,18.07,12.95,6.06,-10.91
