"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2025-02-13","11:15:00",6092.13,"31 Feb 13 6115 C STO 1.35 | 31 Feb 13 6115 P STO 24.85 | 31 Feb 13 6145 C BTO 0.15 | 31 Feb 13 6085 P BTO 7.00",1900,6115.07,"2025-02-13","16:00:00",7,"Expired",58528,99.36842105263159,31,2395687,34100,"",155,3.66,10,8.62,31.54,99.63,-38.16
"2025-02-11","11:15:00",6066.24,"32 Feb 11 6090 C STO 0.95 | 32 Feb 11 6090 P STO 24.70 | 32 Feb 11 6120 C BTO 0.10 | 32 Feb 11 6060 P BTO 6.25",1925,6068.5,"2025-02-11","16:00:00",2150,"Expired",-7360,-11.948051948051948,32,2337159,34400,"",160,4.04,215.5,-17.12,16.92,19.22,-37.66
"2025-02-10","11:15:00",6065.13,"33 Feb 10 6090 C STO 1.00 | 33 Feb 10 6090 P STO 25.65 | 33 Feb 10 6120 C BTO 0.10 | 33 Feb 10 6060 P BTO 7.05",1945,6066.44,"2025-02-10","16:00:00",2356,"Expired",-13728,-21.38817480719794,33,2344519,34815,"",165,3.73,225.5,20.41,18.73,14.65,-35.22
"2025-01-31","11:15:00",6119.36,"38 Jan 31 6145 C STO 1.00 | 38 Jan 31 6145 P STO 27.75 | 38 Jan 31 6175 C BTO 0.20 | 38 Jan 31 6115 P BTO 7.95",2055,6040.53,"2025-01-31","16:00:00",3000,"Expired",-36100,-46.228710462287104,38,2358247,35910,"",190,3.53,1.391,25.62,22.57,0,-54.26
"2025-01-23","11:15:00",6092.84,"43 Jan 23 6120 C STO 0.70 | 43 Jan 23 6120 P STO 28.15 | 43 Jan 23 6150 C BTO 0.10 | 43 Jan 23 6090 P BTO 6.65",2205,6118.71,"2025-01-23","16:00:00",129,"Expired",89053,93.92290249433105,43,2394347,34185,"",215,4.27,23,-10.05,16.52,94.15,-10.2
"2025-01-21","11:15:00",6029.05,"35 Jan 21 6055 C STO 1.10 | 35 Jan 21 6055 P STO 26.75 | 35 Jan 21 6085 C BTO 0.15 | 35 Jan 21 6025 P BTO 7.30",2035,6049.24,"2025-01-21","16:00:00",576,"Expired",50890,71.44963144963144,35,2305294,33775,"",175,3.74,60,17.46,14.93,78.62,-11.06
"2025-01-15","11:15:00",5936.21,"33 Jan 15 5960 C STO 3.75 | 33 Jan 15 5960 P STO 26.95 | 33 Jan 15 5990 C BTO 0.45 | 33 Jan 15 5930 P BTO 10.15",2005,5949.91,"2025-01-15","16:00:00",1009,"Expired",32703,49.42643391521197,33,2254404,32835,"",165,2.9,104.5,62.3,31,68.08,-24.94
"2025-01-06","11:15:00",6014.86,"37 Jan 6 6040 C STO 0.80 | 37 Jan 6 6040 P STO 26.90 | 37 Jan 6 6070 C BTO 0.10 | 37 Jan 6 6010 P BTO 6.55",2100,5975.38,"2025-01-06","16:00:00",3000,"Expired",-33485,-43.095238095238095,37,2221701,33300,"",185,4.17,1.837,40.34,32.05,14.52,-49.05
"2025-01-03","11:15:00",5908.43,"38 Jan 3 5935 C STO 3.45 | 38 Jan 3 5935 P STO 29.60 | 38 Jan 3 5965 C BTO 0.50 | 38 Jan 3 5905 P BTO 11.15",2135,5942.47,"2025-01-03","16:00:00",747,"Expired",52554,64.77751756440281,38,2255186,32870,"",190,2.84,72.5,22.52,17.36,79.63,-0.47
"2024-12-24","11:15:00",6015.97,"37 Dec 24 6040 C STO 0.25 | 37 Dec 24 6040 P STO 24.05 | 37 Dec 24 6070 C BTO 0.05 | 37 Dec 24 6010 P BTO 2.60",2160,6040.04,"2024-12-24","13:00:00",4,"Expired",79587,99.58333333333333,37,2202632,31080,"",185,9.17,27,10.56,31.34,99.81,-3.7
