"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2025-11-17","14:45:00",6661.79,"1 Nov 17 6690 C STO 2.00 | 1 Nov 17 6735 C BTO 0.15",180,6672.41,"2025-11-17","16:00:00",0,"Expired",177.5,98.61111111111111,1,102777.5,4320,"",2.5,0,13.333,1,-20.5,-51.82,100,0
"2025-11-17","14:30:00",6674.78,"1 Nov 17 6705 C STO 1.95 | 1 Nov 17 6750 C BTO 0.15",175,6672.41,"2025-11-17","16:00:00",0,"Expired",172.5,98.57142857142858,1,102950,4325,"",2.5,0,13,1,-20.5,-38.83,100,0
"2025-11-17","13:00:00",6708.95,"1 Nov 17 6745 C STO 1.85 | 1 Nov 17 6790 C BTO 0.15",165,6672.41,"2025-11-17","16:00:00",0,"Expired",162.5,98.48484848484848,1,103112.5,4335,"",2.5,0,12.333,1,-20.5,-4.66,100,-12.12
"2025-11-14","13:00:00",6758.25,"1 Nov 14 6795 C STO 1.70 | 1 Nov 14 6840 C BTO 0.15",150,6734.11,"2025-11-14","16:00:00",0,"Expired",147.5,98.33333333333333,1,102600,4350,"",2.5,0,11.333,1,-65.35,86.11,100,0
"2025-11-13","13:00:00",6760.12,"1 Nov 13 6805 C STO 1.95 | 1 Nov 13 6850 C BTO 0.25",165,6737.49,"2025-11-13","16:00:00",0,"Expired",162.5,98.48484848484848,1,102452.5,4335,"",2.5,0,7.8,1,-24.45,-66.35,100,-18.18
"2025-11-12","14:45:00",6848.79,"1 Nov 12 6860 C STO 1.80 | 1 Nov 12 6905 C BTO 0.05",170,6858.14,"2025-11-12","15:34:00",380,"Stop Loss",-215,-126.47058823529412,1,102500,4330,"",2.5,2.5,36,63,21.16,-18.98,70.59,-123.53
"2025-11-12","14:30:00",6847.09,"1 Nov 12 6860 C STO 1.75 | 1 Nov 12 6905 C BTO 0.05",165,6858.14,"2025-11-12","15:34:00",370,"Stop Loss",-210,-127.27272727272727,1,102290,4335,"",2.5,2.5,35,63,21.16,-20.68,69.7,-130.3
"2025-11-05","14:30:00",6823.3,"1 Nov 5 6830 C STO 1.95 | 1 Nov 5 6875 C BTO 0.10",180,6796.29,"2025-11-05","16:00:00",0,"Expired",177.5,98.61111111111111,1,102715,4320,"",2.5,0,19.5,1,-1.78,53.53,100,-44.44
"2025-11-04","14:45:00",6769.25,"1 Nov 4 6785 C STO 1.95 | 1 Nov 4 6830 C BTO 0.10",180,6779.94,"2025-11-04","15:15:00",400,"Stop Loss",-225,-125,1,102400,4320,"",2.5,2.5,19.5,74,-63.45,-19.27,19.44,-133.33
"2025-11-04","13:00:00",6780.78,"1 Nov 4 6810 C STO 1.55 | 1 Nov 4 6855 C BTO 0.10",140,6771.55,"2025-11-04","16:00:00",0,"Expired",137.5,98.21428571428571,1,102537.5,4360,"",2.5,0,15.5,1,-63.45,-7.74,100,0
