"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2025-10-14","14:45:00",6669.83,"1 Oct 14 6680 C STO 2.00 | 1 Oct 14 6725 C BTO 0.05",183,6644.31,"2025-10-14","16:00:00",0,"Expired",180.5,98.63387978142076,1,100429,4317,"",2.5,0,40,1,-52.23,67.34,100,-58.47
"2025-10-14","14:30:00",6674.15,"1 Oct 14 6685 C STO 1.75 | 1 Oct 14 6730 C BTO 0.05",158,6644.31,"2025-10-14","16:00:00",0,"Expired",155.5,98.41772151898735,1,100584.5,4342,"",2.5,0,35,1,-52.23,71.66,100,-26.58
"2025-10-13","14:45:00",6653.78,"1 Oct 13 6665 C STO 1.65 | 1 Oct 13 6710 C BTO 0.05",148,6654.72,"2025-10-13","16:00:00",0,"Expired",145.5,98.3108108108108,1,100248.5,4352,"",2.5,0,33,1,70.02,31.25,100,0
"2025-10-10","14:45:00",6601.77,"1 Oct 10 6630 C STO 1.60 | 1 Oct 10 6675 C BTO 0.15",133,6552.51,"2025-10-10","16:00:00",0,"Expired",130.5,98.1203007518797,1,100103,4367,"",2.5,0,10.667,1,5.38,-138.72,100,-39.1
"2025-10-10","13:00:00",6613.68,"1 Oct 10 6665 C STO 2.00 | 1 Oct 10 6710 C BTO 0.25",163,6552.51,"2025-10-10","16:00:00",0,"Expired",160.5,98.46625766871165,1,99972.5,4337,"",2.5,0,8,1,5.38,-126.81,100,-19.63
"2025-10-09","14:45:00",6721.67,"1 Oct 9 6730 C STO 1.20 | 1 Oct 9 6775 C BTO 0.05",103,6727.98,"2025-10-09","15:13:00",230,"Stop Loss",-132,-128.15533980582526,1,99676.5,4397,"",2.5,2.5,24,52,6.78,-38.83,27.18,-176.7
"2025-10-09","13:00:00",6721.49,"1 Oct 9 6740 C STO 1.60 | 1 Oct 9 6785 C BTO 0.10",138,6735.11,"2025-10-09","16:00:00",0,"Expired",135.5,98.18840579710145,1,99812,4362,"",2.5,0,16,1,6.78,-39.01,100,-23.19
"2025-10-08","14:45:00",6748.37,"1 Oct 8 6755 C STO 1.05 | 1 Oct 8 6800 C BTO 0.05",88,6753.35,"2025-10-08","15:21:00",195,"Stop Loss",-112,-127.27272727272727,1,99643,4412,"",2.5,2.5,21,36,9.28,24.5,37.5,-144.32
"2025-10-08","13:00:00",6750.98,"1 Oct 8 6760 C STO 1.85 | 1 Oct 8 6805 C BTO 0.05",168,6753.72,"2025-10-08","16:00:00",0,"Expired",165.5,98.51190476190477,1,99808.5,4332,"",2.5,0,37,1,9.28,27.11,100,-22.02
"2025-10-07","13:00:00",6707.23,"1 Oct 7 6725 C STO 2.00 | 1 Oct 7 6770 C BTO 0.10",178,6716.61,"2025-10-07","13:12:00",385,"Stop Loss",-212,-119.10112359550563,1,99755,4322,"",2.5,2.5,20,34.5,5.86,-38.91,4.49,-113.48
"2025-10-03","13:00:00",6746.56,"1 Oct 3 6755 C STO 2.00 | 1 Oct 3 6800 C BTO 0.10",178,6715.79,"2025-10-03","16:00:00",0,"Expired",175.5,98.59550561797754,1,99967,4322,"",2.5,0,20,1,6.79,24.42,100,0
"2025-10-01","13:00:00",6694.51,"1 Oct 1 6705 C STO 1.75 | 1 Oct 1 6750 C BTO 0.10",153,6699.4,"2025-10-01","13:07:00",335,"Stop Loss",-187,-122.22222222222223,1,99791.5,4347,"",2.5,2.5,17.5,32.5,-23.54,29.59,5.23,-112.42
"2025-09-30","13:00:00",6653.25,"1 Sep 30 6670 C STO 2.20 | 1 Sep 30 6715 C BTO 0.10",198,6663.52,"2025-09-30","14:16:00",430,"Stop Loss",-237,-119.6969696969697,1,99978.5,4302,"",2.5,2.5,22,39.5,-5.02,-2.94,62.12,-147.47
"2025-09-29","13:00:00",6656.08,"1 Sep 29 6665 C STO 2.40 | 1 Sep 29 6710 C BTO 0.10",218,6661.21,"2025-09-29","16:00:00",0,"Expired",215.5,98.85321100917432,1,100215.5,4282,"",2.5,0,24,1,17.88,-5.5,100,-5.5
