"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-02-03","11:30:00",6930.28,"1 Feb 3 6965 C STO 2.20 | 1 Feb 3 7005 C BTO 0.30",180,6917.81,"2026-02-03","16:00:00",0,"Expired",177.5,98.61111111111111,1,1000126.5,3820,"",2.5,0,7.333,1,9.01,-55.17,100,-13.89
"2026-01-30","11:30:00",6933.07,"1 Jan 30 6970 C STO 2.45 | 1 Jan 30 7010 C BTO 0.25",210,6939.03,"2026-01-30","16:00:00",0,"Expired",207.5,98.80952380952381,1,999949,3790,"",2.5,0,9.8,1,-21.74,-14.2,100,-50
"2026-01-29","11:30:00",6902.46,"1 Jan 29 6945 C STO 2.45 | 1 Jan 29 6985 C BTO 0.40",195,6929.12,"2026-01-29","12:14:00",462,"Stop Loss",-272,-139.48717948717947,1,999741.5,3805,"",2.5,2.5,6.125,14.143,-0.29,-75.28,17.95,-146.15
"2026-01-28","11:31:00",6980.75,"1 Jan 28 7015 C STO 2.45 | 1 Jan 28 7055 C BTO 0.20",215,6978.03,"2026-01-28","16:00:00",0,"Expired",212.5,98.83720930232558,1,1000013.5,3785,"",2.5,0,12.25,1,23.4,-21.25,100,0
"2026-01-21","12:13:00",6810.08,"1 Jan 21 6845 C STO 2.40 | 1 Jan 21 6885 C BTO 0.15",215,6831.97,"2026-01-21","12:59:00",507,"Stop Loss",-297,-138.13953488372093,1,999801,3785,"",2.5,2.5,16,17.333,13.85,-0.63,9.3,-146.51
"2026-01-14","11:43:00",6901.66,"1 Jan 14 6925 C STO 2.65 | 1 Jan 14 6965 C BTO 0.20",235,6906.94,"2026-01-14","15:03:00",132,"Stop Loss",98,41.702127659574465,1,1000098,3765,"",2.5,2.5,13.25,16,-26.33,-35.75,91.49,-8.51
