"Strategy","Date Opened","Time Opened","Opening Price","Legs","Initial Premium","No. of Contracts","P/L","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close"
"OO RIC","2026-01-22","10:46:24.4672946",6916.82,"1 Jan 22 6900 P BTO 6.07 | 1 Jan 22 6915 C BTO 12.70 | 1 Jan 22 6950 C STO 1.30 | 1 Jan 22 6865 P STO 1.57",-15.9,1,-1594.88,6913.35,"2026-01-22","16:15:00.6007008",0,"Expired"
"OO RIC","2026-01-21","10:30:39.4207399",6853.41,"1 Jan 21 6835 P BTO 6.54 | 1 Jan 21 6855 C BTO 12.70 | 1 Jan 21 6890 C STO 1.17 | 1 Jan 21 6800 P STO 2.02",-16.05,1,452.12,6875.62,"2026-01-21","16:15:01.9723801",20.62,"Expired"
"OO RIC","2026-01-15","10:31:29.729158",6967.12,"1 Jan 15 6950 P BTO 4.66 | 1 Jan 15 6965 C BTO 11.19 | 1 Jan 15 7000 C STO 0.55 | 1 Jan 15 6915 P STO 1.15",-14.15,1,-866.7900000000001,6944.47,"2026-01-15","16:15:02.0347468",5.53,"Expired"
"OO RIC","2026-01-09","10:30:13.6327584",6957.03,"1 Jan 9 6940 P BTO 5.36 | 1 Jan 9 6955 C BTO 11.63 | 1 Jan 9 6990 C STO 0.92 | 1 Jan 9 6905 P STO 1.42",-14.65,1,-341.8800000000001,6966.28,"2026-01-09","16:15:01.4081336",11.28,"Expired"
"OO RIC","2025-12-24","10:30:49.1166522",6920.27,"1 Dec 24 6905 P BTO 0.49 | 1 Dec 24 6920 C BTO 4.00 | 1 Dec 24 6955 C STO 0.12 | 1 Dec 24 6870 P STO 0.12",-4.25,1,831.43,6932.86,"2025-12-24","11:50:43.7149512",12.65,"Manual User Exit"
"OO RIC","2025-12-22","10:30:53.9806272",6866.27,"1 Dec 22 6850 P BTO 3.27 | 1 Dec 22 6865 C BTO 9.60 | 1 Dec 22 6900 C STO 0.37 | 1 Dec 22 6815 P STO 0.80",-11.7,1,174.3000000000001,6878.49,"2025-12-22","16:15:01.853966",13.49,"Expired"
"OO RIC","2025-12-19","10:30:08.7961909",6821.17,"1 Dec 19 6805 P BTO 9.37 | 1 Dec 19 6820 C BTO 12.75 | 1 Dec 19 6855 C STO 1.32 | 1 Dec 19 6770 P STO 3.35",-17.45,1,-299.87999999999994,6834.5,"2025-12-19","16:15:01.4586059",14.5,"Expired"
"OO RIC","2025-12-18","10:32:18.3972068",6800.91,"1 Dec 18 6785 P BTO 8.97 | 1 Dec 18 6800 C BTO 15.05 | 1 Dec 18 6835 C STO 2.07 | 1 Dec 18 6750 P STO 3.15",-18.8,1,-860.88,6774.76,"2025-12-18","16:15:01.7455214",10.24,"Expired"
